"Asset values and income are colored to denote the change in value from the previous year's filing (increase, decrease, no change)
",,,,,,,,,,,,,,,,,,,,,,,
2017_ID #,New 2017 Asset,2017_Page,2017_Description,2017_Underlying Assets,2017_Location,2017_EIF,2017_attached schedule,2017_Min Value,2017_Max Value,%Change_Value,2016_Min Value,2016_Max Value,2017_Income Type,2017_Min Income,2017_Max Income,2017_Income Exact,%Change_Income,2016_Min Income,2016_Max Income,2016_Income Exact,2016_ID #,2016_Page,2016_Description
122,,23,4% partnership interest Starrelt City Associates LP,residential real estate,"Brooklyn, NY",N/A,"18,141,154,446","$5,000,001","$25,000,000",-60%,"$25,000,001","$50,000,000",rent,"$5,000,001","$5,000,001",,0%,"$5,000,001","$5,000,001",,122,23,4% partnership interest Starrelt City Associates LP
123,,23,4% partnership interest Spring Creek Plaza LLC,commercial real estate,"Brooklyn, NY",N/A,"18,141,154,446","$500,001","$1,000,000",0%,"$500,001","$1,000,000",rent,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,123,23,4% partnership interest Spring Creek Plaza LLC
124,,23,Trump Tower Triplex,residential real estate,"New York, NY",N/A,,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",,$0,$201,,0%,$0,$201,,124,23,Trump Tower Triplex
125,,23,DT Venture I LLC,residential real estate,"Palm Beach, FL",N/A,533,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",,$0,$201,,-100%,"$15,001","$50,000",,125,23,"residential real estate Palm Beach, FL"
126,,24,DTW Venture LLC,residential real estate,"Palm Beach, FL",N/A,93,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",rent,"$50,001","$100,000",,0%,"$50,001","$100,000",,126,24,"residential real estate Palm Beach, FL"
127,,24,DT Marks Worli LLC,license deal,"New York, NY",N/A,89,,,0%,,,royalties,"$1,000,001","$5,000,000",,0%,"$1,000,001","$5,000,000",,127,24,DT Marks Worli LLC
130,,24,THC Vancouver Management Corp,management co,"Vancouver, Canada",N/A,190,,,0%,,,management fees,,,"$21,576",-66%,,,"$35,714",130,24,THC Vancouver Management Corp
131,,24,The Trump Entrepreneur Initiative LLC,seminar program,"New York, NY",N/A,201,,,0%,,,resdiual income,,,"$38,542",66%,,,"$13,239",131,24,The Trump Entrepreneur Initiative LLC
132,,24,TNGC Jupiter Management LLC,management co,"Jupiter, FL",N/A,227,,,0%,,,management fees,,,"$468,346",4%,,,"$451,020",132,24,TNGC Jupiter Management LLC
133,,24,Trump Chicago Commercial Manager LLC,management co,"New York, NY",N/A,254,,,0%,,,management fees,,,"$1,292,392",-9%,,,"$1,412,078",133,24,Trump Chicago Commercial Manager LLC
134,,24,Trump Chicago Hotel Manager LLC,management co,"New York, NY",N/A,256,"$15,001","$50,000",,,,management fees,,,"$2,198,295",-3%,,,"$2,254,010",134,24,Trump Chicago Hotel Manager LLC
135,,24,Trump Chicago Residential Manager LLC,management co,"New York, NY",N/A,260,,,0%,,,management fees,,,"$677,122",0%,,,"$679,444",135,24,Trump Chicago Residential Manager LLC
136,,24,Trump Marks Fine Foods,license deal,"New York, NY",N/A,333,"$1,001","$15,000",,,,royalties,"$5,001","$15,000",,-69%,"$15,001","$50,000",,136,24,Trump Marks Fine Foods
